Abstract,Authors,DOI,Datatype,Keywords,Source,Title
"['Both large-wildlife loss and climatic changes can independently influence the prevalence and distribution of zoonotic disease. Given growing evidence that wildlife loss often has stronger community-level effects in low-productivity areas, we hypothesized that these perturbations would have interactive effects on disease risk. We experimentally tested this hypothesis by measuring tick abundance and the prevalence of tick-borne pathogens (Coxiella burnetii and Rickettsia spp.) within long-term, size-selective, large-herbivore exclosures replicated across a precipitation gradient in East Africa. Total wildlife exclusion increased total tick abundance by 130% (mesic sites) to 225% (dry, low-productivity sites), demonstrating a significant interaction of defaunation and aridity on tick abundance. When differing degrees of exclusion were tested for a subset of months, total tick abundance increased from 170% (only mega-herbivores excluded) to 360% (all large wildlife excluded). Wildlife exclusion differentially affected the abundance of the three dominant tick species, and this effect varied strongly over time, likely due to differences among species in their host associations, seasonality, and other ecological characteristics. Pathogen prevalence did not differ across wildlife exclusion treatments, rainfall levels, or tick species, suggesting that exposure risk will respond to defaunation and climate change in proportion to total tick abundance. These findings demonstrate interacting effects of defaunation and aridity that increase disease risk, and they highlight the need to incorporate ecological context when predicting effects of wildlife loss on zoonotic disease dynamics.']","[[{'firstName': 'Georgia', 'lastName': 'Titcomb', 'affiliation': 'University of California, Santa Barbara', 'affiliationROR': 'https://ror.org/02t274463'}, {'firstName': 'Brian F.', 'lastName': 'Allan', 'affiliation': 'University of Illinois at Urbana Champaign', 'affiliationROR': 'https://ror.org/047426m28'}, {'firstName': 'Tyler', 'lastName': 'Ainsworth', 'affiliation': 'University of California, Santa Barbara', 'affiliationROR': 'https://ror.org/02t274463'}, {'firstName': 'Henson', 'lastName': 'Lauren', 'affiliation': 'University of California, Santa Barbara', 'affiliationROR': 'https://ror.org/02t274463'}, {'firstName': 'Tyler', 'lastName': 'Hedlund', 'affiliation': 'University of Illinois at Urbana Champaign', 'affiliationROR': 'https://ror.org/047426m28'}, {'firstName': 'Robert M.', 'lastName': 'Pringle', 'affiliation': 'Princeton University', 'affiliationROR': 'https://ror.org/00hx57361'}, {'firstName': 'Todd M.', 'lastName': 'Palmer', 'affiliation': 'University of Florida', 'affiliationROR': 'https://ror.org/02y3ad647'}, {'firstName': 'Laban', 'lastName': 'Njoroge', 'affiliation': 'National Museums of Kenya', 'affiliationROR': 'https://ror.org/04sjpp691'}, {'firstName': 'Michael G.', 'lastName': 'Campana', 'affiliation': 'Smithsonian Conservation Biology Institute', 'affiliationROR': 'https://ror.org/04hnzva96'}, {'firstName': 'Robert C.', 'lastName': 'Fleischer', 'affiliation': 'Smithsonian Conservation Biology Institute', 'affiliationROR': 'https://ror.org/04hnzva96'}, {'firstName': 'John Naisikie', 'lastName': 'Mantas', 'affiliation': 'Mpala Research Center and Wildlife Foundation', 'affiliationROR': 'https://ror.org/04c466w42'}, {'firstName': 'Hillary S.', 'lastName': 'Young', 'affiliation': 'University of California, Santa Barbara', 'affiliationROR': 'https://ror.org/02t274463'}, {'firstName': 'Lauren', 'lastName': 'Henson', 'affiliation': 'Smithsonian Conservation Biology Institute', 'affiliationROR': 'https://ror.org/04hnzva96'}]]",['doi:10.5061/dryad.sf33k'],['dataset'],[''],[''],['Data from: Interacting effects of wildlife loss and climate on ticks and tick-borne disease']
"['<p>The composition of tick microbiomes varies both within and among tick species. Whether this variation is intrinsic (related to tick characteristics), or extrinsic (related to vertebrate host and habitat) is poorly understood but important, as microbiota can influence the reproductive success and vector competence of ticks. We aimed to uncover what intrinsic and extrinsic factors best explain the microbial composition and taxon richness of 11 species of Neotropical ticks, collected from eight species of small mammals in 18 forest fragments across central Panama. Microbial richness varied among tick species, life stages, and collection sites, but was not related to host blood source. Microbiome composition was best explained by tick life stage, with bacterial assemblages of larvae being a subset of those of nymphs. Collection site explained most of the bacterial taxa with differential abundance across intrinsic and extrinsic factors. <i>Francisella </i>and <i>Rickettsia </i>were highly prevalent, but their proportional abundance differed greatly among tick species and we found both positive and negative co-occurrence between members of these two genera. Other tick endosymbionts (e.g. <i>Coxiella</i>, <i>Rickettsiella</i>) were associated with specific tick species. In addition, we detected <i>Anaplasma</i> and <i>Bartonella </i>in several tick species. Our results indicate that the microbial composition and richness of Neotropical ticks are principally related to intrinsic factors (tick species, life stage) and collection site. Taken together, our analysis informs how tick microbiomes are structured and can help anchor our understanding of tick microbiomes from tropical environments more broadly.</p>\r\n']","[[{'firstName': 'Jordan', 'lastName': 'Kueneman', 'email': 'jordan.kue@gmail.com', 'affiliation': 'Smithsonian Tropical Research Institute', 'affiliationROR': 'https://ror.org/035jbxr46', 'orcid': '0000-0001-9521-6282'}]]",['doi:10.5061/dryad.h9w0vt4h0'],['dataset'],[''],[''],['Tick microbiomes in neotropical forest fragments are best explained by tick-associated and environmental factors rather than host blood source ']
"['The datasets of records of the distribution of ticks are invaluable tools to understand the phylogenetic patterns of evolution of ticks and the abiotic traits to which they are associated. Such datasets require an exhaustive collection of bibliographical references. In most cases, it is necessary the confirmation of reliable identification of ticks, together with an update of the scientific names of the vertebrate hosts. For some biogeographic regions, these data are not easily available, because many records were published in the so-called “grey literature”. We introduce the Dataset of Ticks in South America, a repository that collates data on more than 7,000 records of ticks, together with a set of abiotic traits, curated from satellite-derived information over the complete target region. The dataset includes data about ticks collected on wild hosts, with a special chapter devoted to species of cattle. It includes details of the phylogenetic relationships of the species of hosts, to provide researchers with both the biotic and abiotic traits, driving the distribution of ticks in South America.']","[[{'firstName': 'Agustín', 'lastName': 'Estrada-Peña', 'email': 'aestrada@unizar.es', 'affiliation': 'University of Zaragoza', 'affiliationROR': 'https://ror.org/012a91z28'}]]",['doi:10.5061/dryad.860473k'],['dataset'],[''],[''],['Data from: The dataset of ticks in South America']
"['<p>We have reconstructed the genomes of bacterial endosymbionts (Coxiella-LE, Francisella-LE and Coxiella burnetii) from the tick metagenomes of the BioProject PRJCA002242 available on the BIGD database (https://bigd.big.ac.cn/).</p>\r\n\r\n<p>Jia <i>et al.</i> (Jia et al., 2020, <a class=""doi"" href=""https://doi.org/10.1016/j.cell.2020.07.023"" rel=""noreferrer noopener"" target=""_blank"" title=""Persistent link using digital object identifier"">https://doi.org/10.1016/j.cell.2020.07.023</a>; the original paper of the BioProject PRJCA002242) reported major discoveries on the genetic basis of hematophagy and vector capacities in ticks. Our re-examination of the tick metagenomic datasets shows that nutritional endosymbionts required for hematophagy were also widely present. They were misidentified as tick-borne pathogens.</p>\r\n\r\n<p>This present dataset includes these new assembled genomes of tick endosymbionts.</p>\r\n\r\n<p>\xa0</p>\r\n']","[[{'firstName': 'Marie', 'lastName': 'Buysse', 'email': 'marie.buysse@ird.fr', 'affiliation': 'Maladies Infectieuses et Vecteurs : Ecologie, Génétique, Evolution et Contrôle', 'affiliationROR': 'https://ror.org/00357kh21', 'orcid': '0000-0002-8160-2470'}, {'firstName': 'Olivier', 'lastName': 'Duron', 'email': 'olivier.duron@ird.fr', 'affiliation': 'Maladies Infectieuses et Vecteurs : Ecologie, Génétique, Evolution et Contrôle', 'affiliationROR': 'https://ror.org/00357kh21', 'orcid': '0000-0002-7426-782X'}]]",['doi:10.5061/dryad.t76hdr80p'],['dataset'],[''],[''],"[""Endosymbionts' genomes extracted from tick metagenomes""]"
"['<p>In field studies of tick ecology, observed patterns may be biased by sampling methods. Results can vary by species, life stage, and habitat, and understanding these biases will improve comparisons of data across studies as well as assessment of human disease risk. A direct comparison of flagging versus dragging was conducted in southeastern Virginia. Transects were surveyed over a six-week period to identify differences in species and life stage collected,\xa0as well as differences between corduroy and denim material and inspection method for drags. Flagging collected more\xa0Ixodes affinis\xa0Neumann (Acari: Ixodidae)\xa0adults and\xa0Amblyomma\xa0americanum\xa0L.\xa0(Acari: Ixodidae)\xa0adults\xa0than dragging. Ground inspection was more efficient than tree inspection for collection of\xa0I.\xa0affinis\xa0adults, with no significant difference in inspection method for any other species or life stage. Corduroy was found to be more effective than denim in collecting nymphal\xa0A.\xa0americanum,\xa0although this may be an artifact of three large samples for corduroy collection of these ticks. There was no significant difference in\xa0Ixodes scapularis\xa0Say (Acari: Ixodidae)\xa0collection in any comparison. Dragging, tree inspection, and denim were not found to be more efficient in any scenario. This is the first comparison of flagging and dragging conducted in the southeastern United States. The community composition of ticks in this region greatly differs from regions where studies of these commonly used sampling techniques have been conducted. As the distributions of ticks continues to change over time, it will be important to evaluate best practices annually.</p>\r\n']","[[{'firstName': 'Christina', 'lastName': 'Espada', 'email': 'cespa001@odu.edu', 'affiliation': 'Old Dominion University', 'affiliationROR': 'https://ror.org/04zjtrb98', 'orcid': '0000-0002-4567-0337'}, {'firstName': 'Hannah', 'lastName': 'Cummins', 'email': '', 'affiliation': 'Old Dominion University', 'affiliationROR': 'https://ror.org/04zjtrb98'}, {'firstName': 'Aaron', 'lastName': 'Gonzalez', 'email': '', 'affiliation': 'Old Dominion University', 'affiliationROR': 'https://ror.org/04zjtrb98'}, {'firstName': 'Holly', 'lastName': 'Gaff', 'email': 'hgaff@odu.edu', 'affiliation': 'Old Dominion University', 'affiliationROR': 'https://ror.org/04zjtrb98'}]]",['doi:10.5061/dryad.00000002b'],['dataset'],[''],[''],['A comparison of tick collection materials and methods in Southeastern Virginia']
"['The cattle tick Rhipicephalus microplus is currently invading the West African region, and little information is available on the spread of this exotic tick in this region. We set out a country-wide field survey to determine its current distribution in Benin. Ticks were collected on cattle from 106 farms selected by random sampling covering all regions of the country. Rhipicephalus annulatus was found on 70 % of all farms, R. decoloratus on 42 %, R. geigyi on 58 %, and R. microplus on 49 %. There is a clear geographic separation between the indigenous Rhipicephalus species and R. microplus. Rhipicephalus annulatus occurs mainly in the northern departments, but it was also observed in lower numbers in locations in the south. The presence of R. decoloratus is limited to the northern region, and in most locations, this tick makes up a small proportion of the collected ticks. The tick R. geigyi tends to be dominant, but occurs only in the four northern departments. The observations concerning R. microplus are entirely different, this species occurs in the southern and central region. The results of this survey confirm the invasive character and displacement properties of R. microplus, since in less than a decade it has colonized more than half of the country and has displaced indigenous ticks of the same genus in many of the sampled locations.']","[[{'firstName': 'Eva M.', 'lastName': 'De Clercq', 'affiliation': 'Université Catholique de Louvain', 'affiliationROR': 'https://ror.org/02495e989'}, {'firstName': 'S. O.', 'lastName': 'Vanwambeke', 'affiliation': 'Université Catholique de Louvain', 'affiliationROR': 'https://ror.org/02495e989'}, {'firstName': 'M.', 'lastName': 'Sungirai', 'affiliation': 'Institute of Tropical Medicine Antwerp', 'affiliationROR': 'https://ror.org/03xq4x896'}, {'firstName': 'S.', 'lastName': 'Adehan', 'affiliation': 'Ministère de l’Agriculture de l’Elevage et de la Pêche/CeRPA-OP/Service Recherche Développement, Cotonou, Benin'}, {'firstName': 'R.', 'lastName': 'Lokossou', 'affiliation': 'La Direction de l’Elevage du Ministère de l’Agriculture, Cotonou, Benin'}, {'firstName': 'M.', 'lastName': 'Madder', 'affiliation': 'University of Pretoria', 'affiliationROR': 'https://ror.org/00g0p6g84'}]]",['doi:10.5061/dryad.1j7q2'],['dataset'],[''],[''],"['Data from: Geographic distribution of the invasive cattle tick Rhipicephalus microplus, a country-wide survey in Benin']"
"['Changes to the community ecology of hosts for zoonotic pathogens, particularly rodents, are likely to influence the emergence and prevalence of zoonotic diseases worldwide. However, the complex interactions between abiotic factors, pathogens, vectors, hosts, and both food resources and predators of hosts are difficult to disentangle. Here we (1) use 19 years of data from six large field plots in southeastern New York to compare the effects of hypothesized drivers of interannual variation in Lyme disease risk, including the abundance of acorns, rodents, and deer, as well as a series of climate variables; and (2) employ landscape epidemiology to explore how variation in predator community structure and forest cover influences spatial variation in the infection prevalence of ticks for the Lyme disease bacterium, Borrelia burgdorferi, and two other important tick-borne pathogens, Anaplasma phagocytophilum and Babesia microti. Acorn-driven increases in the abundance of mice were correlated with a lagged increase in the abundance of questing nymph-stage Ixodes scapularis ticks infected with Lyme disease bacteria. Abundance of white-tailed deer two years prior also correlated with increased density of infected nymphal ticks, although the effect was weak. Density of rodents in the current year was a strong negative predictor of nymph density, apparently because high current abundance of these hosts can remove nymphs from the host-seeking population. Warm, dry spring or winter weather was associated with reduced density of infected nymphs. At the landscape scale, the presence of functionally diverse predator communities or of bobcats, the only obligate carnivore, was associated with reduced infection prevalence of I. scapularis nymphs with all three zoonotic pathogens. In the case of Lyme disease, infection prevalence increased where coyotes were present but smaller predators were displaced or otherwise absent. For all pathogens, infection prevalence was lowest when forest cover within a 1km radius was high. Taken together, our results suggest that a food web perspective including bottom-up and top-down forcing is needed to understand drivers of tick-borne disease risk, a result that may also apply to other rodent-borne zoonoses. Prevention of exposure based on ecological indicators of heightened risk should help protect public health.']","[[{'firstName': 'Richard S.', 'lastName': 'Ostfeld', 'affiliation': 'Cary Institute of Ecosystem Studies', 'affiliationROR': 'https://ror.org/01dhcyx48'}, {'firstName': 'Taal', 'lastName': 'Levi', 'affiliation': 'Oregon State University', 'affiliationROR': 'https://ror.org/00ysfqy60'}, {'firstName': 'Felicia', 'lastName': 'Keesing', 'affiliation': 'Bard College', 'affiliationROR': 'https://ror.org/04yrgt058'}, {'firstName': 'Kelly', 'lastName': 'Oggenfuss', 'affiliation': 'Cary Institute of Ecosystem Studies', 'affiliationROR': 'https://ror.org/01dhcyx48'}, {'firstName': 'Charles D.', 'lastName': 'Canham', 'affiliation': 'Cary Institute of Ecosystem Studies', 'affiliationROR': 'https://ror.org/01dhcyx48'}]]",['doi:10.5061/dryad.d1c8046'],['dataset'],[''],[''],['Data from: Tick-borne disease risk in a forest food web']
"[""Blacklegged ticks (Ixodes scapularis) are one of the most important pathogen vectors in the United States, responsible for transmitting Lyme disease and other tick-borne diseases. The structure of a host's microbial community has the potential to affect the ecology and evolution of the host. We employed high-throughput sequencing of the 16S rRNA gene V3-V4 hypervariable regions in the first study to investigate the tick microbiome across all developmental stages (larvae, nymphs, adults). In addition to field-collected life stages, newly hatched laboratory-reared larvae were studied to determine the baseline microbial community structure and to assess transovarial transmission. We also targeted midguts and salivary glands due to their importance in pathogen maintenance and transmission. Over 100 000 sequences were produced per life stage replicate. Rickettsia was the most abundant bacterial genus across all sample types matching mostly the Ixodes rickettsial endosymbionts, and its proportion decreased as developmental stage progressed, with the exception of adult females that harboured a mean relative abundance of 97.9%. Laboratory-reared larvae displayed the lowest bacterial diversity, containing almost exclusively Rickettsia. Many of the remaining bacteria included genera associated with soil, water and plants, suggesting environmental acquisition while off-host. Female organs exhibited significantly different β-diversity than the whole tick from which they were derived. Our results demonstrate clear differences in both α- and β-diversity among tick developmental stages and between tick organs and the tick as a whole. Furthermore, field-acquired bacteria appear to be very important to the overall internal bacterial community of this tick species, with influence from the host bloodmeal appearing limited.""]","[[{'firstName': 'Christine P.', 'lastName': 'Zolnik', 'affiliation': 'Fordham University', 'affiliationROR': 'https://ror.org/03qnxaf80'}, {'firstName': 'Robert J.', 'lastName': 'Prill', 'affiliation': 'Fordham University', 'affiliationROR': 'https://ror.org/03qnxaf80'}, {'firstName': 'Richard C.', 'lastName': 'Falco', 'affiliation': 'Fordham University', 'affiliationROR': 'https://ror.org/03qnxaf80'}, {'firstName': 'Thomas J.', 'lastName': 'Daniels', 'affiliation': 'Fordham University', 'affiliationROR': 'https://ror.org/03qnxaf80'}, {'firstName': 'Sergios-Orestis', 'lastName': 'Kolokotronis', 'affiliation': 'Fordham University', 'affiliationROR': 'https://ror.org/03qnxaf80'}]]",['doi:10.5061/dryad.mt6m0'],['dataset'],[''],[''],['Data from: Microbiome changes through ontogeny of a tick pathogen vector']
"['The mammalian tick-borne flavivirus group (MTBFG) contains viruses associated with important human and animal diseases such as encephalitis and hemorrhagic fever. In contrast to mosquito-borne flaviviruses where recombination events are frequent, the evolutionary dynamic within the MTBFG was believed to be essentially clonal. This assumption was challenged with the recent report of several homologous recombinations within the Tick-borne encephalitis virus TBEV. We performed a thorough analysis of publicly available genomes in this group and found no compelling evidence for the previously identified recombinations. However, our results show for the first time that demonstrable recombination (i.e., with large statistical support and strong phylogenetic evidences) has occurred in the MTBFG, more specifically within the Louping ill virus lineage. Putative parents, recombinant strains and breakpoints were further tested for statistical significance using phylogenetic methods. We investigated the time of divergence between the recombinant and parental strains in a Bayesian framework. The recombination was estimated to have occurred during a window period of 282 to 76 years before the present. By unravelling the temporal setting of the event, we adduce hypotheses']","[[{'firstName': 'Yann', 'lastName': 'Bertrand'}, {'firstName': 'Mats', 'lastName': 'Töpel'}, {'firstName': 'Annelie', 'lastName': 'Elväng', 'affiliation': 'Södertörn University', 'affiliationROR': 'https://ror.org/00d973h41'}, {'firstName': 'Wessam', 'lastName': 'Melik', 'affiliation': 'Stockholm University', 'affiliationROR': 'https://ror.org/05f0yaq80'}, {'firstName': 'Magnus', 'lastName': 'Johansson', 'affiliation': 'Södertörn University', 'affiliationROR': 'https://ror.org/00d973h41'}]]",['doi:10.5061/dryad.504636cd'],['dataset'],[''],[''],['Data from: First dating of a recombination event in mammalian tick-borne flaviviruses']
"['Interactions between species of ticks, their realised range of hosts, the pathogens they carry and transmit, as well as the geographical distribution of species in the Western Palearctic, have been obtained based on evidence published between 1970–2014. These relationships were linked to remotely-sensed features of temperature and vegetation and used to extract the network of interactions among the organisms. The resulting datasets were focussed on niche overlap among ticks and hosts, species interactions and the fraction of the environmental niche where tick-borne pathogens may circulate, as a result of interactions and environmental trait overlap. The presented datasets provide a valuable resource for researchers of tick-borne pathogens, as they conciliate the abiotic and biotic sides of their niche, allowing exploration of the importance of each species of vertebrate reservoir in the circulation of tick-transmitted pathogens at intervals of the environmental niche.']","[[{'firstName': 'Agustin', 'lastName': 'Estrada-Peña', 'affiliation': 'University of Zaragoza', 'affiliationROR': 'https://ror.org/012a91z28'}, {'firstName': 'José', 'lastName': 'de la Fuente', 'affiliation': 'Institute for Game and Wildlife Research', 'affiliationROR': 'https://ror.org/0140hpe71'}]]",['doi:10.5061/dryad.2h3f2'],['dataset'],[''],[''],['Data from: Species interactions in occurrence data for a community of tick-transmitted pathogens']
