Abstract,Authors,DOI,Datatype,Keywords,Source,Title
[''],"[['Heaney CD', 'Moon KA', 'Ostfeld RS', 'Pollak J', 'Poulsen MN', 'Hirsch AG', 'DeWalle J', 'Aucott JN', 'Schwartz BS']]",['10.1016/j.scitotenv.2021.148697'],['unkown'],[''],['Sci Total Environ'],"['Relations of peri-residential temperature and humidity in tick-life-cycle-relevant time periods with human Lyme disease risk in Pennsylvania, USA.']"
[''],"[['Polat E', 'Altinkum SM', 'Bagdatli Y', 'Baykara O']]",['10.1007/s10493-021-00642-2'],['unkown'],[''],['Exp Appl Acarol'],"['The tick fauna in Istanbul, Turkey, from 2013 to 2017 and identification of their pathogens by multiplex PCR: an epidemiological study.']"
[''],"[['Teodorowski O', 'Winiarczyk S', 'Debiak P', 'Skrzypczak M', 'Mazurek Ł', 'Adaszek Ł']]",['10.24425/pjvs.2021.136807'],['unkown'],[''],['Pol J Vet Sci'],['Clinical course of granulocytic anaplasmosis in hunting dogs.']
[''],"[['López Y', 'Robayo-Sánchez LN', 'Muñoz-Leal S', 'Aleman A', 'Arroyave E', 'Ramírez-Hernández A', 'Cortés-Vecino JA', 'Mattar S', 'Faccini-Martínez ÁA']]",['10.3389/fvets.2021.704399'],['unkown'],[''],['Front Vet Sci'],"['<i>Ornithodoros puertoricensis</i> (Ixodida: Argasidae) Associated With Domestic Fowl in Rural Dwellings From Córdoba Department, Caribbean Colombia.']"
[''],"[['Kvapil P', 'Račnik J', 'Kastelic M', 'Pittermannová P', 'Avšič-Zupanc T', 'Bártová E', 'Sedlák K']]",['10.3389/fvets.2021.688904'],['unkown'],[''],['Front Vet Sci'],['Detection of Antibodies Against Tick-Borne Encephalitis Virus and Other Flaviviruses in a Zoological Collection in Slovenia.']
[''],"[['El Hamiani Khatat S', 'Daminet S', 'Duchateau L', 'Elhachimi L', 'Kachani M', 'Sahibi H']]",['10.3389/fvets.2021.686644'],['unkown'],[''],['Front Vet Sci'],['Epidemiological and Clinicopathological Features of <i>Anaplasma phagocytophilum</i> Infection in Dogs: A Systematic Review.']
[''],"[['Rosenblatt E', 'DeBow J', 'Blouin J', 'Donovan T', 'Murdoch J', 'Creel S', 'Rogers W', 'Gieder K', 'Fortin N', 'Alexander C']]",['10.1093/conphys/coab048'],['unkown'],[''],['Conserv Physiol'],"['Juvenile moose stress and nutrition dynamics related to winter ticks, landscape characteristics, climate-mediated factors and survival.']"
[''],"[['Maboko BB', 'Sibeko-Matjila KP', 'Pierneef R', 'Chan WY', 'Josemans A', 'Marumo RD', 'Mbizeni S', 'Latif AA', 'Mans BJ']]",['10.3389/fgene.2021.666096'],['unkown'],[''],['Front Genet'],['South African Buffalo-Derived <i>Theileria parva</i> Is Distinct From Other Buffalo and Cattle-Derived <i>T. parva</i>.']
[''],"[['Cardoso FF', 'Matika O', 'Djikeng A', 'Mapholi N', 'Burrow HM', 'Yokoo MJI', 'Campos GS', 'Gulias-Gomes CC', 'Riggio V', 'Pong-Wong R', 'Engle B', 'Porto-Neto L', 'Maiwashe A', 'Hayes BJ']]",['10.3389/fimmu.2021.620847'],['unkown'],[''],['Front Immunol'],['Multiple Country and Breed Genomic Prediction of Tick Resistance in Beef Cattle.']
[''],"[['Fabri ND', 'Sprong H', 'Hofmeester TR', 'Heesterbeek H', 'Donnars BF', 'Widemo F', 'Ecke F', 'Cromsigt JPGM']]",['10.1186/s13071-021-04860-w'],['unkown'],[''],['Parasit Vectors'],['Wild ungulate species differ in their contribution to the transmission of Ixodes ricinus-borne pathogens.']
[''],"[['Sándor AD', 'Mihalca AD', 'Domşa C', 'Péter Á', 'Hornok S']]",['10.3389/fvets.2021.684737'],['unkown'],[''],['Front Vet Sci'],"['Argasid Ticks of Palearctic Bats: Distribution, Host Selection, and Zoonotic Importance.']"
[''],"[['Ni J', 'Ren Q', 'Lin H', 'Aizezi M', 'Luo J', 'Luo Y', 'Ma Z', 'Chen Z', 'Liu W', 'Guo J', 'Qu Z', 'Xu X', 'Wu Z', 'Tan Y', 'Wang J', 'Li Y', 'Guan G', 'Luo J', 'Yin H', 'Liu G']]",['10.3389/fvets.2021.675457'],['unkown'],[''],['Front Vet Sci'],"['Molecular Evidence of <i>Bartonella melophagi</i> in Ticks in Border Areas of Xinjiang, China.']"
[''],"[['Yan Y', 'Wang K', 'Cui Y', 'Zhou Y', 'Zhao S', 'Zhang Y', 'Jian F', 'Wang R', 'Zhang L', 'Ning C']]",['10.1038/s41598-021-93629-3'],['unkown'],[''],['Sci Rep'],['Molecular detection and phylogenetic analyses of Anaplasma spp. in Haemaphysalis longicornis from goats in four provinces of China.']
[''],[['Hudecová IMJČGKMPL']],[''],['unkown'],[''],['Ceska Slov Farm'],['Triazavirin might be the new hope to fight Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).']
[''],"[['Zhang B', 'Havird JC', 'Wang E', 'Lv J', 'Xu X']]",['10.1016/j.ijbiomac.2021.07.011'],['unkown'],[''],['Int J Biol Macromol'],['Massive gene rearrangement in mitogenomes of phytoseiid mites.']
[''],"[['Buysse M', 'Binetruy F', 'Leibson R', 'Gottlieb Y', 'Duron O']]",['10.1007/s00248-021-01773-0'],['unkown'],[''],['Microb Ecol'],['Ecological Contacts and Host Specificity Promote Replacement of Nutritional Endosymbionts in Ticks.']
[''],"[['Singh K', 'Davies G', 'Alenazi Y', 'Eaton JRO', 'Kawamura A', 'Bhattacharya S']]",['10.1038/s41598-021-92868-8'],['unkown'],[''],['Sci Rep'],['Author Correction: Yeast surface display identifies a family of evasins from ticks with novel polyvalent CC chemokine-binding activities.']
[''],"[['Veinović G', 'Ćakić S', 'Mihaljica D', 'Sukara R', 'Ružić-Sabljić E', 'Tomanović S']]",['10.1556/030.2021.01441'],['unkown'],[''],['Acta Microbiol Immunol Hung'],['In vitro efficacy of antibiotics against different Borrelia isolates.']
[''],"[['Elhachimi L', 'Valcárcel F', 'Olmeda AS', 'Elasatey S', 'Khattat SE', 'Daminet S', 'Sahibi H', 'Duchateau L']]",['10.1007/s10493-021-00641-3'],['unkown'],[''],['Exp Appl Acarol'],['Rearing of Hyalomma marginatum (Acarina: Ixodidae) under laboratory conditions in Morocco.']
[''],"[['Lima-Duarte L', 'Camargo JV', 'Castro-Santiago AC', 'Machado RZ', 'André MR', 'Cabral-de-Mello DC', 'Camargo-Mathias MI', 'Ikeda P', 'Anholeto LA', 'Pereira MC', 'da Costa AJ', 'Barros-Battesti DM']]",['10.1016/j.ttbdis.2021.101770'],['unkown'],[''],['Ticks Tick Borne Dis'],['Establishment and characterization of a cell line (RBME-6) of Rhipicephalus (Boophilus) microplus from Brazil.']
