Abstract,Authors,DOI,Datatype,Keywords,Link,Source,Title
[''],[''],['10.17632/rtd52gnbyy.2'],['dataset'],[''],['https://api.figshare.com/v2/articles/14263853'],['figshare'],['Spatio-temporal variation in environmental features predicts the distribution and abundance of Ixodes scapularis']
[''],[''],['10.17632/s7jrdzfmb7.1'],['dataset'],[''],['https://api.figshare.com/v2/articles/8960282'],['figshare'],['Gene-enriched draft genome of the cattle tick Rhipicephalus microplus: assembly by the hybrid Pacific Biosciences/Illumina approach enabled analysis of the highly repetitive genome']
[''],[''],['10.17632/xt2npd4wy5.2'],['dataset'],[''],['https://api.figshare.com/v2/articles/8962013'],['figshare'],['Data for: Nationwide Seroprevalence Study of the Tick-Borne Encephalitis Virus Complex and Infectious Rate of <i>Anaplasma phagocytophilum</i> in Danish Roe Deer (<i>Capreolus capreolus</i>)']
[''],[''],['10.17632/zjmtx7ghx4.2'],['dataset'],[''],['https://api.figshare.com/v2/articles/14524850'],['figshare'],"['Data for ""Integrative Taxonomy and Species Delimitation of Rhipicephalus turanicus (Acari: Ixodida: Ixodidae)"".']"
[''],[''],['10.5281/zenodo.3533502'],['dataset'],[''],['https://api.figshare.com/v2/articles/11649804'],['figshare'],['A Weighting Function Model for Unsteady Open Channel Friction: Raw code and output']
[''],[''],['10.3389/fcimb.2019.00477.s001'],['figure'],[''],['https://api.figshare.com/v2/articles/11665299'],['figshare'],['Image_1_Gene Expression in the Salivary Gland of Rhipicephalus (Boophilus) microplus Fed on Tick-Susceptible and Tick-Resistant Hosts.tiff']
[''],[''],['10.3389/fcimb.2019.00477.s002'],['dataset'],[''],['https://api.figshare.com/v2/articles/11665317'],['figshare'],['Table_1_Gene Expression in the Salivary Gland of Rhipicephalus (Boophilus) microplus Fed on Tick-Susceptible and Tick-Resistant Hosts.XLS']
[''],[''],['10.3389/fbioe.2019.00236.s001'],['dataset'],[''],['https://api.figshare.com/v2/articles/9906755'],['figshare'],['Data_Sheet_1_Identification of Ixodid Tick-Specific Aquaporin-1 Potential Anti-tick Vaccine Epitopes: An in-silico Analysis.ZIP']
[''],[''],['10.3389/fcimb.2019.00477.s003'],['dataset'],[''],['https://api.figshare.com/v2/articles/11665323'],['figshare'],['Table_2_Gene Expression in the Salivary Gland of Rhipicephalus (Boophilus) microplus Fed on Tick-Susceptible and Tick-Resistant Hosts.XLS']
[''],[''],['10.3389/fgene.2019.01322.s002'],['figure'],[''],['https://api.figshare.com/v2/articles/11665545'],['figshare'],"['Image_1_Combining Citizen Science and Genomics to Investigate Tick, Pathogen, and Commensal Microbiome at Single-Tick Resolution.pdf']"
[''],[''],['10.3389/fgene.2019.01322.s001'],['dataset'],[''],['https://api.figshare.com/v2/articles/11665542'],['figshare'],"['DataSheet_1_Combining Citizen Science and Genomics to Investigate Tick, Pathogen, and Commensal Microbiome at Single-Tick Resolution.pdf']"
[''],[''],['10.3389/fgene.2019.01322.s002'],['figure'],[''],['https://api.figshare.com/v2/articles/11665545'],['figshare'],"['Image_1_Combining Citizen Science and Genomics to Investigate Tick, Pathogen, and Commensal Microbiome at Single-Tick Resolution.pdf']"
[''],[''],['10.3389/fphys.2020.572758.s002'],['dataset'],[''],['https://api.figshare.com/v2/articles/12992777'],['figshare'],['Data_Sheet_2_Targeting the Exoskeleton Elementome to Track Tick Geographic Origins.PDF']
[''],[''],['10.3389/fimmu.2021.704621.s005'],['figure'],[''],['https://api.figshare.com/v2/articles/14957349'],['figshare'],['Image_5_Anti-Microbiota Vaccines Modulate the Tick Microbiome in a Taxon-Specific Manner.tif']
[''],[''],['10.3389/fphys.2020.572758.s001'],['dataset'],[''],['https://api.figshare.com/v2/articles/12992774'],['figshare'],['Data_Sheet_1_Targeting the Exoskeleton Elementome to Track Tick Geographic Origins.xlsx']
[''],[''],['10.3389/fphys.2020.572758.s003'],['dataset'],[''],['https://api.figshare.com/v2/articles/12992780'],['figshare'],['Data_Sheet_3_Targeting the Exoskeleton Elementome to Track Tick Geographic Origins.xlsx']
[''],[''],['10.3389/fimmu.2021.704621.s006'],['dataset'],[''],['https://api.figshare.com/v2/articles/14957352'],['figshare'],['Table_1_Anti-Microbiota Vaccines Modulate the Tick Microbiome in a Taxon-Specific Manner.xlsx']
