Abstract,Authors,DOI,Datatype,Keywords,Link,Source,Title
"['Tick-borne diseases are the most commonly reported vector-borne diseases in North America and recent estimates of Lyme disease prevalence in the United States alone are as high as 300,000 cases annually. While the vast majority of cases in the US are reported in the upper Midwest and northeast, there are cases reported from throughout California every year, yet research on ticks and the diseases they vector has been restricted primarily to a handful of northern California counties.\nRecent research has extended this work to Santa Barbara County and yielded results suggesting both that phenology of some tick species is remarkably constant over large geographic areas and that tick populations and communities can be highly variable even within relatively small geographic areas with similar habitats and climate. As a result, acaralogical risk is expected to be highly variable across the landscape.\nRecent large-scale studies and surveillance efforts have been undertaken in the eastern US to characterize this variability and identify areas of high expected acaralogical risk. This type of large-scale sampling effort on the ground is crucial to our understanding of the highly geographically variable nature of ticks and tick-borne diseases and what factors are driving their emergence.\nThis project aims to use the UC Natural Reserve System to carry out a standardized sampling and surveillance effort applied at a larger geographical scale than has yet been undertaken in California. The goal of which is both to begin to characterize regional differences in tick communities, infection prevalence, and human risk as well as provide baseline information for the UC Reserves, and for the safety of staff and researchers working on them, that can be built upon in future studies. Specifically, data collected from the reserves will be used to ask the following questions:\n1.\tHow do tick community composition and relative abundance differ regionally in California?\nH1: I. pacificus will make up a larger proportion of the community at higher latitudes and in cooler, wetter climates; the proportion will decrease as latitude decreases and as climate becomes hotter and drier where it will be dominated by Dermacentor spp.\nH2: Overall tick abundance will decrease with latitude and as climate becomes more arid.\n2.\tAre there differences in infection prevalence of I. pacificus with B. burgdorferi on a regional scale in California?\nH3: Infection prevalence will be highest in the north and decrease with latitude.']",['Andy MacDonald'],['nrs.874.3'],['TABULAR_DATA'],"[['tick-borne disease', 'Lyme disease', 'vector-borne diseases', 'acaralogical risk', 'regional differenes', 'tick communities', 'UC Reserves', 'Dermacentor spp.', 'I. pacificus', 'B. burgdorferi', 'Infection prevalence']]",['https://cn.dataone.org/cn/v2/resolve/nrs.874.3'],[''],"['Assessing regional differences in community composition, infection, prevalence, and human risk of tick-borne disease in California']"
"['Tick-borne diseases are the most commonly reported vector-borne diseases in North America and recent estimates of Lyme disease prevalence in the United States alone are as high as 300,000 cases annually. While the vast majority of cases in the US are reported in the upper Midwest and northeast, there are cases reported from throughout California every year, yet research on ticks and the diseases they vector has been restricted primarily to a handful of northern California counties.\nRecent research has extended this work to Santa Barbara County and yielded results suggesting both that phenology of some tick species is remarkably constant over large geographic areas and that tick populations and communities can be highly variable even within relatively small geographic areas with similar habitats and climate. As a result, acaralogical risk is expected to be highly variable across the landscape.\nRecent large-scale studies and surveillance efforts have been undertaken in the eastern US to characterize this variability and identify areas of high expected acaralogical risk. This type of large-scale sampling effort on the ground is crucial to our understanding of the highly geographically variable nature of ticks and tick-borne diseases and what factors are driving their emergence.\nThis project aims to use the UC Natural Reserve System to carry out a standardized sampling and surveillance effort applied at a larger geographical scale than has yet been undertaken in California. The goal of which is both to begin to characterize regional differences in tick communities, infection prevalence, and human risk as well as provide baseline information for the UC Reserves, and for the safety of staff and researchers working on them, that can be built upon in future studies. Specifically, data collected from the reserves will be used to ask the following questions:\n1.\tHow do tick community composition and relative abundance differ regionally in California?\nH1: I. pacificus will make up a larger proportion of the community at higher latitudes and in cooler, wetter climates; the proportion will decrease as latitude decreases and as climate becomes hotter and drier where it will be dominated by Dermacentor spp.\nH2: Overall tick abundance will decrease with latitude and as climate becomes more arid.\n2.\tAre there differences in infection prevalence of I. pacificus with B. burgdorferi on a regional scale in California?\nH3: Infection prevalence will be highest in the north and decrease with latitude.']",['Andy MacDonald'],['nrs.874.1'],['TABULAR_DATA'],"[['pacificus', 'Dermacentor spp.', 'burgdorferi', 'climate', 'latitude', 'regional', 'tick-borne', 'disease', 'Lyme']]",['https://cn.dataone.org/cn/v2/resolve/nrs.874.1'],[''],"['Assessing regional differences in community composition, infection, prevalence, and human risk of tick-borne disease in California']"
"['Tick-borne diseases are the most commonly reported vector-borne diseases in North America and recent estimates of Lyme disease prevalence in the United States alone are as high as 300,000 cases annually. While the vast majority of cases in the US are reported in the upper Midwest and northeast, there are cases reported from throughout California every year, yet research on ticks and the diseases they vector has been restricted primarily to a handful of northern California counties.\nRecent research has extended this work to Santa Barbara County and yielded results suggesting both that phenology of some tick species is remarkably constant over large geographic areas and that tick populations and communities can be highly variable even within relatively small geographic areas with similar habitats and climate. As a result, acaralogical risk is expected to be highly variable across the landscape.\nRecent large-scale studies and surveillance efforts have been undertaken in the eastern US to characterize this variability and identify areas of high expected acaralogical risk. This type of large-scale sampling effort on the ground is crucial to our understanding of the highly geographically variable nature of ticks and tick-borne diseases and what factors are driving their emergence.\nThis project aims to use the UC Natural Reserve System to carry out a standardized sampling and surveillance effort applied at a larger geographical scale than has yet been undertaken in California. The goal of which is both to begin to characterize regional differences in tick communities, infection prevalence, and human risk as well as provide baseline information for the UC Reserves, and for the safety of staff and researchers working on them, that can be built upon in future studies. Specifically, data collected from the reserves will be used to ask the following questions:\n1.\tHow do tick community composition and relative abundance differ regionally in California?\nH1: I. pacificus will make up a larger proportion of the community at higher latitudes and in cooler, wetter climates; the proportion will decrease as latitude decreases and as climate becomes hotter and drier where it will be dominated by Dermacentor spp.\nH2: Overall tick abundance will decrease with latitude and as climate becomes more arid.\n2.\tAre there differences in infection prevalence of I. pacificus with B. burgdorferi on a regional scale in California?\nH3: Infection prevalence will be highest in the north and decrease with latitude.']",['Andy MacDonald'],['nrs.874.2'],['TABULAR_DATA'],[''],['https://cn.dataone.org/cn/v2/resolve/nrs.874.2'],[''],"['Assessing regional differences in community composition, infection, prevalence, and human risk of tick-borne disease in California']"
"['Tick-borne diseases are the most commonly reported vector-borne diseases in North America and recent estimates of Lyme disease prevalence in the United States alone are as high as 300,000 cases annually. While the vast majority of cases in the US are reported in the upper Midwest and northeast, there are cases reported from throughout California every year, yet research on ticks and the diseases they vector has been restricted primarily to a handful of northern California counties.\nRecent research has extended this work to Santa Barbara County and yielded results suggesting both that phenology of some tick species is remarkably constant over large geographic areas and that tick populations and communities can be highly variable even within relatively small geographic areas with similar habitats and climate. As a result, acaralogical risk is expected to be highly variable across the landscape.\nRecent large-scale studies and surveillance efforts have been undertaken in the eastern US to characterize this variability and identify areas of high expected acaralogical risk. This type of large-scale sampling effort on the ground is crucial to our understanding of the highly geographically variable nature of ticks and tick-borne diseases and what factors are driving their emergence.\nThis project aims to use the UC Natural Reserve System to carry out a standardized sampling and surveillance effort applied at a larger geographical scale than has yet been undertaken in California. The goal of which is both to begin to characterize regional differences in tick communities, infection prevalence, and human risk as well as provide baseline information for the UC Reserves, and for the safety of staff and researchers working on them, that can be built upon in future studies. Specifically, data collected from the reserves will be used to ask the following questions:\n1.\tHow do tick community composition and relative abundance differ regionally in California?\nH1: I. pacificus will make up a larger proportion of the community at higher latitudes and in cooler, wetter climates; the proportion will decrease as latitude decreases and as climate becomes hotter and drier where it will be dominated by Dermacentor spp.\nH2: Overall tick abundance will decrease with latitude and as climate becomes more arid.\n2.\tAre there differences in infection prevalence of I. pacificus with B. burgdorferi on a regional scale in California?\nH3: Infection prevalence will be highest in the north and decrease with latitude.']",['Andy MacDonald'],['nrs.874.3'],['TABULAR_DATA'],"[['tick-borne disease', 'Lyme disease', 'vector-borne diseases', 'acaralogical risk', 'regional differenes', 'tick communities', 'UC Reserves', 'Dermacentor spp.', 'I. pacificus', 'B. burgdorferi', 'Infection prevalence']]",['https://cn.dataone.org/cn/v2/resolve/nrs.874.3'],[''],"['Assessing regional differences in community composition, infection, prevalence, and human risk of tick-borne disease in California']"
"['Tick-borne diseases are the most commonly reported vector-borne diseases in North America and recent estimates of Lyme disease prevalence in the United States alone are as high as 300,000 cases annually. While the vast majority of cases in the US are reported in the upper Midwest and northeast, there are cases reported from throughout California every year, yet research on ticks and the diseases they vector has been restricted primarily to a handful of northern California counties.\nRecent research has extended this work to Santa Barbara County and yielded results suggesting both that phenology of some tick species is remarkably constant over large geographic areas and that tick populations and communities can be highly variable even within relatively small geographic areas with similar habitats and climate. As a result, acaralogical risk is expected to be highly variable across the landscape.\nRecent large-scale studies and surveillance efforts have been undertaken in the eastern US to characterize this variability and identify areas of high expected acaralogical risk. This type of large-scale sampling effort on the ground is crucial to our understanding of the highly geographically variable nature of ticks and tick-borne diseases and what factors are driving their emergence.\nThis project aims to use the UC Natural Reserve System to carry out a standardized sampling and surveillance effort applied at a larger geographical scale than has yet been undertaken in California. The goal of which is both to begin to characterize regional differences in tick communities, infection prevalence, and human risk as well as provide baseline information for the UC Reserves, and for the safety of staff and researchers working on them, that can be built upon in future studies. Specifically, data collected from the reserves will be used to ask the following questions:\n1.\tHow do tick community composition and relative abundance differ regionally in California?\nH1: I. pacificus will make up a larger proportion of the community at higher latitudes and in cooler, wetter climates; the proportion will decrease as latitude decreases and as climate becomes hotter and drier where it will be dominated by Dermacentor spp.\nH2: Overall tick abundance will decrease with latitude and as climate becomes more arid.\n2.\tAre there differences in infection prevalence of I. pacificus with B. burgdorferi on a regional scale in California?\nH3: Infection prevalence will be highest in the north and decrease with latitude.']",['Andy MacDonald'],['nrs.874.1'],['TABULAR_DATA'],"[['pacificus', 'Dermacentor spp.', 'burgdorferi', 'climate', 'latitude', 'regional', 'tick-borne', 'disease', 'Lyme']]",['https://cn.dataone.org/cn/v2/resolve/nrs.874.1'],[''],"['Assessing regional differences in community composition, infection, prevalence, and human risk of tick-borne disease in California']"
"['Tick-borne diseases are the most commonly reported vector-borne diseases in North America and recent estimates of Lyme disease prevalence in the United States alone are as high as 300,000 cases annually. While the vast majority of cases in the US are reported in the upper Midwest and northeast, there are cases reported from throughout California every year, yet research on ticks and the diseases they vector has been restricted primarily to a handful of northern California counties.\nRecent research has extended this work to Santa Barbara County and yielded results suggesting both that phenology of some tick species is remarkably constant over large geographic areas and that tick populations and communities can be highly variable even within relatively small geographic areas with similar habitats and climate. As a result, acaralogical risk is expected to be highly variable across the landscape.\nRecent large-scale studies and surveillance efforts have been undertaken in the eastern US to characterize this variability and identify areas of high expected acaralogical risk. This type of large-scale sampling effort on the ground is crucial to our understanding of the highly geographically variable nature of ticks and tick-borne diseases and what factors are driving their emergence.\nThis project aims to use the UC Natural Reserve System to carry out a standardized sampling and surveillance effort applied at a larger geographical scale than has yet been undertaken in California. The goal of which is both to begin to characterize regional differences in tick communities, infection prevalence, and human risk as well as provide baseline information for the UC Reserves, and for the safety of staff and researchers working on them, that can be built upon in future studies. Specifically, data collected from the reserves will be used to ask the following questions:\n1.\tHow do tick community composition and relative abundance differ regionally in California?\nH1: I. pacificus will make up a larger proportion of the community at higher latitudes and in cooler, wetter climates; the proportion will decrease as latitude decreases and as climate becomes hotter and drier where it will be dominated by Dermacentor spp.\nH2: Overall tick abundance will decrease with latitude and as climate becomes more arid.\n2.\tAre there differences in infection prevalence of I. pacificus with B. burgdorferi on a regional scale in California?\nH3: Infection prevalence will be highest in the north and decrease with latitude.']",['Andy MacDonald'],['nrs.874.2'],['TABULAR_DATA'],[''],['https://cn.dataone.org/cn/v2/resolve/nrs.874.2'],[''],"['Assessing regional differences in community composition, infection, prevalence, and human risk of tick-borne disease in California']"
"['The data consist of trapping records of white-footed mice, Peromyscus leucopus, including the numbers of blacklegged ticks attached and feeding.  Included are mouse tag number, sex, age category, trapping grid of capture, trapping week, and trap station, among other data.']",['Richard Ostfeld'],['knb.326.1'],['TABULAR_DATA'],"[['blacklegged tick', 'Ixodes scapularis', 'white-footed mouse', 'Peromyscus leucopus', 'eastern deciduous forest', 'ectoparasite', 'parasite-host interactions']]",['https://cn.dataone.org/cn/v2/resolve/knb.326.1'],[''],['Ostfeld tick burdens on mice 1995 through 2005']
"['These data include mouse and chipmunk population densities, and larva and nymphs counted per mouse and chipmunk. The data can be used to explore the relationship between rodent density and the number of ticks attached to rodents.']",['Richard Ostfeld'],['knb.779.2'],['TABULAR_DATA'],"[['Ixodes scapularis', 'blacklegged tick', 'white-footed mouse', 'eastern chipmunk', 'Peromyscus leucopus', 'Tamias striatus', 'ectoparasite']]",['https://cn.dataone.org/cn/v2/resolve/knb.779.2'],[''],"['Ostfeld mouse, chipmunk, tick data at control sites']"
"['These data include mouse and chipmunk population densities, and larva and nymphs counted per mouse and chipmunk. The data can be used to explore the relationship between rodent density and the number of ticks attached to rodents.']",['Richard Ostfeld'],['knb.779.1'],['TABULAR_DATA'],"[['blacklegged tick', 'Ixodes scapularis', 'white-footed mouse', 'eastern chipmunk', 'Peromyscus leucopus', 'Tamias striatus', 'ectoparasite', 'eastern deciduous forest', 'parasite-host interactions']]",['https://cn.dataone.org/cn/v2/resolve/knb.779.1'],[''],"['Ostfeld mouse, chipmunk, tick data at control sites']"
"['These are data on acorn production, summer population densities of white-footed mice and eastern chipmunks, and seasonal peak densities of larval and nymphal blacklegged ticks.  Also included are infection prevalence data for the nymphal blacklegged ticks with the agent of Lyme disease, Borrelia burgdorferi.  These data come from six field plots on the grounds of the Cary Institute in Millbrook, NY.']",['Richard Ostfeld'],['knb.324.1'],['TABULAR_DATA'],"[['white-footed mouse', 'blacklegged tick', 'acorn', 'eastern chipmunk', 'Quercus', 'Peromyscus', 'Tamias', 'Lyme disease', 'Borrelia burgdorferi', 'eastern deciduous forest']]",['https://cn.dataone.org/cn/v2/resolve/knb.324.1'],[''],['Ostfeld mouse-mast through 2005']
