Abstract,Authors,DOI,Datatype,Keywords,Link,Source,Title
[None],"['N. Boulanger, P., Boyer, E., Talagrand-Reboul, Y., Hansmann']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/24f56dbe-14d7-3001-a6ea-dc9e2f78b045/'],['Medecine et Maladies Infectieuses'],['Ticks and tick-borne diseases']
[None],"['Kyle G. Rodino, Elitza S., Theel, Bobbi S., Pritt']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/3b76844d-c9d5-3a5b-9e31-a8fdb6368c7b/'],['Clinical chemistry'],['Tick-Borne Diseases in the United States']
[None],"['Ahmed Al-Rofaai, Lesley, Bell-Sakyi']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/8ea3a815-3b2a-3766-aed6-de1e2c26fafd/'],['Frontiers in Physiology'],['Tick Cell Lines in Research on Tick Control']
[None],['Stephen K. Wikel'],[''],['unkown'],[''],['https://www.mendeley.com/catalogue/dcc13027-4bd9-3f09-a740-a2c3c8871cb5/'],['Veterinary Sciences'],"['Ticks and tick-borne infections: Complex ecology, agents, and host interactions']"
[None],"['Susan Madison-Antenucci, Laura D., Kramer, Linda L., Gebhardt, Elizabeth, Kauffman']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/581272a6-324a-3305-a99d-66d613a935c5/'],['Clinical Microbiology Reviews'],['Emerging tick-borne diseases']
[None],"['Alicja M. Buczek, Weronika, Buczek, Alicja, Buczek, Katarzyna, Bartosik']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/6ad5695b-4ed2-37de-be88-caedac6e39a2/'],['International Journal of Environmental Research and Public Health'],['The potential role of migratory birds in the rapid spread of ticks and tick-borne pathogens in the changing climatic and environmental conditions in europe']
[None],"['Ladislav Šimo, Maria, Kazimirova, Jennifer, Richardson, Sarah I., Bonnet']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/4a6b1662-f0ec-3dab-9f46-8622059bf264/'],['Frontiers in Cellular and Infection Microbiology'],['The essential role of tick salivary glands and saliva in tick feeding and pathogen transmission']
[None],"['Biswajit Bhowmick, Qian, Han']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/c52523b1-d16a-3552-a779-688463a68d10/'],['Frontiers in Veterinary Science'],['Understanding Tick Biology and Its Implications in Anti-tick and Transmission Blocking Vaccines Against Tick-Borne Pathogens']
[None],"['Jordan Salomon, Sarah A., Hamer, Andrea, Swei']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/dba0a588-b52f-3f29-a6fd-51a4af5d63b7/'],['Journal of Insect Science'],"[""A Beginner's guide to collecting questing hard ticks (acari: ixodidae): A standardized tick dragging protocol""]"
[None],"['José de la Fuente, Sandra, Antunes, Sarah, Bonnet, Alejandro, Cabezas-Cruz, Ana G., Domingos, Agustín, Estrada-Peña, Nicholas, Johnson, Katherine M., Kocan, Karen L., Mansfield, Ard M., Nijhof, Anna, Papa, Nataliia, Rudenko, Margarita, Villar, Pilar, Alberdi, Alessandra, Torina, Nieves, Ayllón, Marie, Vancova, Maryna, Golovchenko, Libor, Grubhoffer, Santo, Caracappa, Anthony R., Fooks, Christian, Gortazar, Ryan O.M., Rego']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/1f39d20e-b901-337e-900b-e6ec7d2600f6/'],['Frontiers in Cellular and Infection Microbiology'],['Tick-Pathogen Interactions and Vector Competence: Identification of Molecular Drivers for Tick-Borne Diseases']
[None],"['Sarah I. Bonnet, Florian, Binetruy, Angelica M., Hernández-Jarguín, Olivier, Duron']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/336446c3-74b8-3dae-9e40-2f0ddf6ad4b9/'],['Frontiers in Cellular and Infection Microbiology'],['The tick microbiome: Why non-pathogenic microorganisms matter in tick biology and pathogen transmission']
[None],"['Jordan Salomon, Sarah A., Hamer, Andrea, Swei']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/dba0a588-b52f-3f29-a6fd-51a4af5d63b7/'],['Journal of Insect Science'],"[""A Beginner's guide to collecting questing hard ticks (acari: ixodidae): A standardized tick dragging protocol""]"
[None],['Filipe Dantas-Torres'],[''],['unkown'],[''],['https://www.mendeley.com/catalogue/a22ce0ee-4c74-393f-9693-50a544536843/'],['International Journal for Parasitology: Parasites and Wildlife'],"['Climate change, biodiversity, ticks and tick-borne diseases: The butterfly effect']"
[None],"['Thomas Pollet, Hein, Sprong, Emilie, Lejal, Aleksandra I., Krawczyk, Sara, Moutailler, Jean Francois, Cosson, Muriel, Vayssier-Taussat, Agustín, Estrada-Peña']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/e24be95a-7ea7-3f76-825c-ff23bd7cefbc/'],['Parasites and Vectors'],['The scale affects our view on the identification and distribution of microbial communities in ticks']
[None],"['Nighat Perveen, Sabir Bin, Muzaffar, Mohammad Ali, Al-Deeb']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/b24c96ef-6930-39b9-8a42-0dae5d04f7b7/'],['Insects'],['Ticks and tick-borne diseases of livestock in the middle east and north africa: A review']
[None],"['Annetta Zintl, Sara, Moutailler, Peter, Stuart, Linda, Paredis, Justine, Dutraive, Estelle, Gonzalez, Jack, O’Connor, Elodie, Devillers, Barbara, Good, Colm, OMuireagain, Theo, De Waal, Fergal, Morris, Jeremy, Gray']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/d4a1233c-e2bf-3cf6-81be-504bc2eaa5d0/'],['Irish Veterinary Journal'],['Ticks and Tick-borne diseases in Ireland']
[None],"['Ilia Rochlin, Alvaro, Toledo']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/690e3b8b-318d-3b43-9966-5f16617c2ccd/'],['Journal of Medical Microbiology'],['Emerging tick-borne pathogens of public health importance: A mini-review']
[None],"['Karol Borawski, Sławomir, Pancewicz, Piotr, Czupryna, Joanna, Zajkowska, Anna, Moniuszko-Malinowska']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/66958c04-1c80-3831-89a5-1fde75ddb72c/'],['Przeglad epidemiologiczny'],['Tick paralysis']
[None],"['Frans Jongejan, Suzanne, De Jong, Timo, Voskuilen, Louise, Van Den Heuvel, Rick, Bouman, Henk, Heesen, Carlijn, Ijzermans, Laura, Berger']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/cec31d8e-1feb-3740-8972-d2e902755bfc/'],['Parasites and Vectors'],"['""tekenscanner"": A novel smartphone application for companion animal owners and veterinarians to engage in tick and tick-borne pathogen surveillance in the Netherlands']"
[None],"['Georgia Titcomb, Brian F., Allan, Tyler, Ainsworth, Lauren, Henson, Tyler, Hedlund, Robert M., Pringle, Todd M., Palmer, Laban, Njoroge, Michael G., Campana, Robert C., Fleischer, John Naisikie, Mantas, Hillary S., Young']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/67be874f-e6c2-368d-89ae-bdbaf11511a9/'],['Proceedings of the Royal Society B: Biological Sciences'],['Interacting effects of wildlife loss and climate on ticks and tick-borne disease']
[None],"['W. Tanner Porter, Peter J., Motyka, Julie, Wachara, Zachary A., Barrand, Zahraa, Hmood, Marya, McLaughlin, Kelsey, Pemberton, Nathan C., Nieto']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/dca79b7a-cb63-37c6-9ec2-0cdbcacb95fb/'],['International Journal of Health Geographics'],['Citizen science informs human-tick exposure in the Northeastern United States']
[None],"['Dasiel Obregón Alvarez, Belkis, Corona-González, Alina, Rodríguez-Mallón, Islay Rodríguez, Gonzalez, Pastor, Alfonso, Angel A., Noda Ramos, Adrian A., Díaz-Sánchez, Maylin González, Navarrete, Rafmary Rodríguez, Fernández, Luis Méndez, Mellor, Helen N., Catanese, Manuel, Peláez, Yousmel Alemán, Gainza, Roxana, Marrero-Perera, Lisset, Roblejo-Arias, Evelyn, Lobo-Rivero, Claudia B., Silva, Adivaldo H., Fonseca, Eugenio Roque, López, Alejandro, Cabezas-Cruz']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/c02c2fc5-5cbe-3ac0-9deb-ed2e6856b9ec/'],['Pathogens'],"['Ticks and tick-borne diseases in Cuba, half a century of scientific research']"
[None],"['Ryan O.M. Rego, Jos J.A., Trentelman, Juan, Anguita, Ard M., Nijhof, Hein, Sprong, Boris, Klempa, Ondrej, Hajdusek, Julen, Tomás-Cortázar, Tal, Azagi, Martin, Strnad, Sarah, Knorr, Radek, Sima, Marie, Jalovecka, Sabína, Fumačová Havlíková, Martina, Ličková, Monika, Sláviková, Petr, Kopacek, Libor, Grubhoffer, Joppe W., Hovius']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/539f6828-d511-3c22-8e57-02afcb4be780/'],['Parasites and Vectors'],['Counterattacking the tick bite: Towards a rational design of anti-tick vaccines targeting pathogen transmission']
[None],"['Abdul Ghafar, Alejandro, Cabezas-Cruz, Clemence, Galon, Dasiel, Obregon, Robin B., Gasser, Sara, Moutailler, Abdul, Jabbar']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/95cabdef-6909-3810-800b-c86fb5fa99d0/'],['Parasites and Vectors'],['Bovine ticks harbour a diverse array of microorganisms in Pakistan']
[None],"['Tinne Lernout, Nick, De Regge, Katrien, Tersago, Manoj, Fonville, Vanessa, Suin, Hein, Sprong']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/1945808f-9fde-38cb-bdac-91903f32872d/'],['Parasites and Vectors'],['Prevalence of pathogens in ticks collected from humans through citizen science in Belgium']
[None],"['Jani Jukka Sormunen, Niko, Kulha, Tero, Klemola, Satu, Mäkelä, Ella Maria, Vesilahti, Eero Juhani, Vesterinen']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/b3953bc0-3028-3779-b859-ebd176a90ade/'],['Zoonoses and Public Health'],"['Enhanced threat of tick-borne infections within cities? Assessing public health risks due to ticks in urban green spaces in Helsinki, Finland']"
[None],"['Charles E. Hart, Jose M., Ribeiro, Maria, Kazimirova, Saravanan, Thangamani']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/b6a50350-c19d-3206-bc83-b27b6e974337/'],['Frontiers in Cellular and Infection Microbiology'],['Tick-Borne Encephalitis Virus Infection Alters the Sialome of Ixodes ricinus Ticks During the Earliest Stages of Feeding']
[None],"['Jing Jing Guo, Xian Dan, Lin, Yan Mei, Chen, Zong Yu, Hao, Zhao Xiao, Wang, Zhu Mei, Yu, Miao, Lu, Kun, Li, Xin Cheng, Qin, Wen, Wang, Edward C., Holmes, Wei, Hou, Yong Zhen, Zhang']",[''],['unkown'],[''],['https://www.mendeley.com/catalogue/052291da-9377-3b12-bf91-7cf848567d22/'],['Virus Evolution'],['Diversity and circulation of Jingmen tick virus in ticks and mammals']
