Abstract,Authors,DOI,Datatype,Keywords,Link,Source,Title
[''],"[[{'orcidId': '0000-0003-3384-4472', 'mendeleyProfileId': '480c40d6-f6b3-3a00-ad36-00ef8e55c54b', 'scopusAuthorId': ['57192314908'], 'lastName': 'Fracasso', 'firstName': 'Gerardo', 'name': 'Gerardo Fracasso'}, {'lastName': 'Matthysen', 'firstName': 'Erik', 'name': 'Erik Matthysen', 'institutionName': 'University of Antwerp'}, {'mendeleyProfileId': 'eeb3fcfe-0f3e-3f6f-b02c-e4b88fdf23b1', 'lastName': 'Dhondt', 'firstName': 'André', 'name': 'André A. Dhondt', 'institutionName': 'Cornell University'}, {'mendeleyProfileId': '9d4b14b4-b77f-3f3f-96c7-7cb930723e2d', 'lastName': 'Heylen', 'firstName': 'Dieter', 'name': 'Dieter Heylen'}]]",['10.17632/3bnhvydzc2.1'],"[['TABULAR_DATA', 'DATASET']]",[''],['https://data.mendeley.com/datasets/3bnhvydzc2'],['MENDELEY_DATA'],['Data for: Experimental study of micro-habitat selection in ixodid <strong>ticks</strong> feeding on avian hosts']
[''],[''],[''],"[['SOFTWARE_CODE', 'TABULAR_DATA', 'TEXT', 'FILE_SET']]",[''],['https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-15342'],['ARRAYEXPRESS'],['Transcription profiling of Bos taurus skin of <strong>tick</strong> naive and <strong>tick</strong>-infested Holstein-Friesian and Brahman breeds']
[''],"[[{'name': 'Heinze DM'}, {'name': ' Thangamani S'}, {'name': ' Carmical JR'}, {'name': ' Aronson JF'}]]",[''],"[['TABULAR_DATA', 'TEXT', 'FILE_SET']]",[''],['https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-39100'],['ARRAYEXPRESS'],['Early immunologic events at the <strong>tick</strong>-host interface']
[''],"[[{'mendeleyProfileId': 'aff74bac-0857-3780-a157-7e94c4a51fe7', 'scopusAuthorId': ['55895334900'], 'lastName': 'Van Oosten', 'firstName': 'Raoul', 'name': 'Raoul Van Oosten'}, {'lastName': 'Heylen', 'firstName': 'Dieter', 'name': 'Dieter Heylen', 'institutionName': 'University of Antwerp'}, {'lastName': 'Matthysen', 'firstName': 'Erik', 'name': 'Erik Matthysen', 'institutionName': 'University of Antwerp'}]]",['10.17632/ddy82wg2fw.1'],"[['TABULAR_DATA', 'DATASET']]",[''],['https://data.mendeley.com/datasets/ddy82wg2fw'],['MENDELEY_DATA'],['The more the merrier – experimental evidence for density-dependent feeding facilitation in the bird-specialised <strong>tick</strong> Ixodes arboricola']
[''],"[[{'lastName': 'AbuBakar', 'firstName': 'Sazaly', 'name': 'Sazaly AbuBakar'}, {'lastName': 'Khor', 'firstName': 'Chee Sieng', 'name': 'Chee Sieng Khor'}, {'orcidId': '0000-0001-7511-860X', 'mendeleyProfileId': 'b5fb5241-48f3-3078-8883-247ff88976c4', 'scopusAuthorId': ['25823160600'], 'lastName': 'Loong', 'firstName': 'Shih Keng', 'name': 'Shih Keng Loong'}, {'lastName': 'Khoo', 'firstName': 'Jing Jing', 'name': 'Jing Jing Khoo'}, {'orcidId': '0000-0002-5816-9146', 'mendeleyProfileId': '709616a7-915f-3803-9bae-cfd255682c97', 'scopusAuthorId': ['55668130000'], 'lastName': 'Tan', 'firstName': 'Kim-Kee', 'name': 'Kim-Kee Tan'}, {'lastName': 'Zainal', 'firstName': 'NurHafiza', 'name': 'NurHafiza Zainal'}, {'mendeleyProfileId': 'fbe3d08b-74bb-3d48-b0ed-106cb25d5c03', 'lastName': 'Fang', 'firstName': 'Shiang', 'name': 'Fang Shiang Lim'}]]",['10.17632/mjh3c5y56f.1'],"[['TABULAR_DATA', 'DATASET', 'DOCUMENT']]",[''],['https://data.mendeley.com/datasets/mjh3c5y56f'],['MENDELEY_DATA'],"['Data for: Bacterial communities in Haemaphysalis, Dermacentor and Amblyomma <strong>ticks</strong> collected from wild boars of an Orang Asli Community in Malaysia']"
[''],"[[{'mendeleyProfileId': '00cc1016-3034-3e58-bd5d-b0c06cb23ee4', 'lastName': 'Ueti', 'firstName': 'Massaro', 'name': 'Massaro Ueti'}]]",['10.17632/66gm4sx9fd.1'],"[['TABULAR_DATA', 'DATASET']]",[''],['https://data.mendeley.com/datasets/66gm4sx9fd'],['MENDELEY_DATA'],['Babesia bovis RNA-Seq from blood and <strong>tick</strong> stages']
[''],"[[{'mendeleyProfileId': '68b9e604-55d0-3eba-bc15-93160d08a06d', 'scopusAuthorId': ['7103221022'], 'lastName': 'Diaz', 'firstName': 'Pablo', 'name': 'Pablo Diaz'}, {'orcidId': '0000-0002-9151-3180', 'mendeleyProfileId': '9016141b-9b6e-3fb9-bd21-89f4de142da7', 'scopusAuthorId': ['8886496700'], 'lastName': 'López Sández', 'firstName': 'Ceferino M.', 'name': 'Ceferino M. López Sández'}, {'lastName': 'Remesar', 'firstName': 'Susana', 'name': 'Susana Remesar'}, {'mendeleyProfileId': '7e5330d3-516d-36bb-a1e0-35596c78fc77', 'scopusAuthorId': ['16645144600'], 'lastName': 'fernández', 'firstName': 'gonzalo', 'name': 'gonzalo fernández'}, {'lastName': 'Morrondo Pelayo', 'firstName': 'Mª Patrocinio', 'name': 'Mª Patrocinio Morrondo Pelayo'}, {'lastName': 'Venzal', 'firstName': 'Jose', 'name': 'Jose Venzal'}, {'mendeleyProfileId': 'd33e9fc9-0f4f-3d89-8461-d030a617e5e2', 'scopusAuthorId': ['56992374900'], 'lastName': 'Prieto', 'firstName': 'Alberto', 'name': 'Alberto Prieto'}, {'mendeleyProfileId': '333e599a-2bed-30b4-bbb0-0c7201a41134', 'scopusAuthorId': ['7006661691', '55224254100', '15744993300'], 'lastName': 'Estrada-Pena', 'firstName': 'Agustin', 'name': 'Agustin Estrada-Pena'}, {'lastName': 'Panadero', 'firstName': 'Rosario', 'name': 'Rosario Panadero'}, {'lastName': 'Pérez-Creo', 'firstName': 'Ana', 'name': 'Ana Pérez-Creo'}, {'lastName': 'Diez Banos', 'firstName': 'Pablo', 'name': 'Pablo Diez Banos'}]]",['10.17632/tjyx29yjgh.1'],"[['TABULAR_DATA', 'DATASET', 'DOCUMENT']]",[''],['https://data.mendeley.com/datasets/tjyx29yjgh'],['MENDELEY_DATA'],['Data for: <strong>Tick</strong> species diversity and population dynamics of Ixodes ricinus in Galicia (NW Spain)']
[''],"[[{'name': 'Sirlei Daffre'}, {'name': 'André Fujita'}, {'name': 'Camila D Malossi'}, {'name': 'João F Soares'}, {'name': 'Adriano Pinter'}, {'name': 'Milton Y Nishiyama'}, {'name': 'Andréa C Fogaça'}, {'name': 'Maria Fernanda B M Galletti'}, {'name': 'Marcelo B Labruna'}]]",[''],[['TABULAR_DATA']],[''],['http://neuroelectro.org/article/89851'],['NEURO_ELECTRO'],['Natural blood feeding and temperature shift modulate the global transcriptional profile of Rickettsia rickettsii infecting its <strong>tick</strong> vector.']
[''],"[[{'name': ' Pérez de la Lastra JM'}, {'name': ' Ayoubi P'}, {'name': ' Naranjo V'}, {'name': ' Kocan KM'}, {'name': ' Nijhof AM'}, {'name': ' Canales M'}, {'name': ' Blouin EF'}, {'name': ' Jongejan F'}, {'name': ' Maritz-Olivier C'}, {'name': 'de la Fuente J'}, {'name': ' Almazán C'}, {'name': ' Gortazar C'}, {'name': ' Galindo RC'}]]",[''],"[['SOFTWARE_CODE', 'GEO_DATA', 'IMAGE', 'TABULAR_DATA', 'TEXT', 'FILE_SET']]",[''],['https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-10222'],['ARRAYEXPRESS'],['Evidence of the role of <strong>tick</strong> subolesin in gene expression']
[''],"[[{'lastName': 'Bukin', 'firstName': 'Yurij', 'name': 'Yurij Bukin'}, {'lastName': 'Tkachev', 'firstName': 'Sergey', 'name': 'Sergey Tkachev'}, {'lastName': 'Kozlova', 'firstName': 'Irina', 'name': 'Irina Kozlova'}, {'lastName': 'Paramonov', 'firstName': 'Alexey', 'name': 'Alexey Paramonov'}, {'lastName': 'Zlobin', 'firstName': 'Vladimir', 'name': 'Vladimir Zlobin'}, {'lastName': 'Ruzek', 'firstName': 'Daniel', 'name': 'Daniel Ruzek'}, {'lastName': 'Qu', 'firstName': 'Zhangyi', 'name': 'Zhangyi Qu'}, {'lastName': 'Dzhioev', 'firstName': 'Yurij', 'name': 'Yurij Dzhioev'}]]",['10.17632/h4rtjx4w2h.2'],"[['TABULAR_DATA', 'DATASET', 'TEXT']]",[''],['https://data.mendeley.com/datasets/h4rtjx4w2h'],['MENDELEY_DATA'],['Data for comparative analysis on the physicochemical properties of <strong>tick</strong>-borne encephalitis virus envelope protein residues that affect its antigenic properties']
[''],"[[{'name': 'Carvalho WA'}, {'name': ' Machado MA'}, {'name': ' Guimaraes SE'}, {'name': ' de Oliveira GC'}, {'name': ' da Silva MV'}, {'name': ' de Azevedo Prata MC'}, {'name': ' Domingues R'}]]",[''],"[['TABULAR_DATA', 'TEXT', 'FILE_SET']]",[''],['https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-57907'],['ARRAYEXPRESS'],['Expression data from skin of bovines infested with <strong>ticks</strong>']
[''],"[[{'name': 'Franzin AM'}, {'name': ' Santos IK.'}, {'name': ' Oliveira RP'}, {'name': ' Maruyama SR'}, {'name': ' Ferreira BR'}, {'name': ' Moré DD'}, {'name': ' Ribeiro JM'}, {'name': ' Maia AA'}, {'name': ' Bishop R'}, {'name': ' Garcia GR'}]]",[''],"[['TABULAR_DATA', 'TEXT']]",[''],['https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4908'],['ARRAYEXPRESS'],"['Transcriptional responses in bovine skin during blood feeding of the cattle <strong>tick</strong>, Rhipicephalus microplus']"
[''],"[[{'mendeleyProfileId': 'aff74bac-0857-3780-a157-7e94c4a51fe7', 'scopusAuthorId': ['55895334900'], 'lastName': 'Van Oosten', 'firstName': 'Raoul', 'name': 'Raoul Van Oosten'}, {'lastName': 'Heylen', 'firstName': 'Dieter', 'name': 'Dieter Heylen'}, {'lastName': 'Duron', 'firstName': 'Olivier', 'name': 'Olivier Duron'}]]",['10.17632/pd4whw7xyc.2'],"[['TABULAR_DATA', 'DATASET']]",[''],['https://data.mendeley.com/datasets/pd4whw7xyc'],['MENDELEY_DATA'],"['Data for: Sex ratios of the <strong>tick</strong> Ixodes arboricola are strongly female-biased, but there are no indications of sex-distorting bacteria']"
