Abstract,Authors,DOI,Datatype,Keywords,Link,Source,Title
"['This data product provides the turbulent wind speed and wind direction statistics. The key sub-data products include the three wind components at the tower top. It contains the quality-controlled measurement data and associated metadata in HDF5 format. It is also used alongside other data products to generate the momentum flux, sensible heat flux, latent heat flux and carbon flux data products.\n\nLatency:\nData collected in any given month are published during the second full week of the following month.']",[''],['NEON.DOM.SITE.DP1.00007.001'],['TIS Data Product Type'],"[['turbulence', 'air temperature', 'sonic temperature', 'eddy covariance (EC)', 'sonic anemometer', 'vertical velocity', 'vertical wind speed', 'high frequency', 'wind speed', 'wind direction', 'horizontal wind speed']]",['DP1.00007.001'],['Terrestrial Instrument System (TIS)'],"['3D wind speed, direction and sonic temperature']"
"['This data product provides the attitude statistics for the 3D sonic anemometer. The key sub-data products include the three attitude angles of the 3D sonic anemometer at the tower top. It contains the quality-controlled measurement data and associated metadata in HDF5 format. It is also used alongside other data products to generate the momentum flux, sensible heat flux, latent heat flux and carbon flux data products. The data are delivered with the Bundled data products - eddy covariance data product (DP4.00200.001).\n\nLatency:\nData collected in any given month are published during the second full week of the following month.']",[''],['NEON.DOM.SITE.DP1.00010.001'],['TIS Data Product Type'],"[['azimuth', 'Attitude and Motion Reference System (AMRS)', 'eddy covariance (EC)', 'motion', 'deployment angle', 'yaw', 'Attitude Heading Reference System (AHRS)', 'Inertial Measurement Unit (IMU)', 'pitch', 'attitude', 'roll']]",['DP1.00010.001'],['Terrestrial Instrument System (TIS)'],['3D wind attitude and motion reference']
['This data product provides the turbulent CO2 concentration statistics. The key sub-data products include CO2 molar fraction in the air at the tower top. It contains the quality-controlled measurement data and associated metadata in HDF5 format. It is also used alongside other data products to generate the CO2 flux data product. The data are delivered with the Bundled data products - eddy covariance data product (DP4.00200.001).\n\nLatency:\nData collected in any given month are published during the second full week of the following month.'],[''],['NEON.DOM.SITE.DP1.00034.001'],['TIS Data Product Type'],"[['turbulence', 'carbon exchange', 'eddy covariance (EC)', 'tower top', 'CO2 mixing ratio', 'CO2 molar density', 'CO2 molar fraction', 'carbon dioxide (CO2)', 'dry mole fraction CO2']]",['DP1.00034.001'],['Terrestrial Instrument System (TIS)'],['CO2 concentration - turbulent']
['This data product provides the turbulent H2O concentration statistics. The key sub-data products include H2O molar fraction in the air at the tower top. It contains the quality-controlled measurement data and associated metadata in HDF5 format. It is also used alongside other data products to generate the latent heat flux data product. The data are delivered with the Bundled data products - eddy covariance data product (DP4.00200.001).\n\nLatency:\nData collected in any given month are published during the second full week of the following month.'],[''],['NEON.DOM.SITE.DP1.00035.001'],['TIS Data Product Type'],"[['turbulence', 'H2O molar density', 'H2O molar fraction', 'eddy covariance (EC)', 'tower top', 'dry mole fraction H2O', 'dew point', 'water vapor', 'H2O mixing ratio', 'water vapour', 'exchange']]",['DP1.00035.001'],['Terrestrial Instrument System (TIS)'],['H2O concentration - turbulent']
"['This data product contains the quality-controlled Atmospheric CO2 isotopes measurement data and associated metadata in HDF5 format. The key sub-data products include CO2 molar fraction, H2O molar fraction and delta 13C in CO2 in the air at different measurement heights on tower at all NEON terrestrial sites. The data are delivered with the Bundled data products - eddy covariance data product (DP4.00200.001).\n\nLatency:\nData collected in any given month are published during the second full week of the following month.']",[''],['NEON.DOM.SITE.DP1.00036.001'],['TIS Data Product Type'],"[['H2O molar fraction', 'eddy covariance (EC)', 'CO2 mixing ratio', 'stable isotopes', 'terrestrial', 'CO2 molar fraction', 'carbon dioxide (CO2)', 'carbon-13 (13C)', 'tower', 'water vapor', 'atmospheric CO2', 'profile', 'dry mole fraction CO2']]",['DP1.00036.001'],['Terrestrial Instrument System (TIS)'],['Atmospheric CO2 isotopes']
"['This data product contains the quality-controlled measurement data and associated metadata in HDF5 format. The key sub-data products include H2O molar fraction, delta 18O and delta 2H in water vapor in the air at different measurement heights on the tower at all terrestrial core sites and one relocatable site (D19 BARR). The data are delivered with the Bundled data products - eddy covariance data product (DP4.00200.001).\n\nLatency:\nData collected in any given month are published during the second full week of the following month.']",[''],['NEON.DOM.SITE.DP1.00037.001'],['TIS Data Product Type'],"[['atmospheric H2O', 'H2O molar fraction', 'eddy covariance (EC)', 'dry mole fraction H2O', 'stable isotopes', 'oxygen-18 (18O)', 'water vapor', 'hydrogen-2 (2H)', 'profile', 'humidity']]",['DP1.00037.001'],['Terrestrial Instrument System (TIS)'],['Atmospheric H2O isotopes']
"['This data product contains the quality-controlled measurement data and associated metadata in HDF5 format. The key sub-data products include CO2 molar fraction in the air at different measurement heights on tower at all NEON terrestrial sites, and sensor associated environmental data. The data are delivered with the Bundled data products - eddy covariance data product (DP4.00200.001).\n\nLatency:\nData collected in any given month are published during the second full week of the following month.']",[''],['NEON.DOM.SITE.DP1.00099.001'],['TIS Data Product Type'],"[['carbon exchange', 'eddy covariance (EC)', 'CO2 mixing ratio', 'storage', 'concentration', 'CO2 molar fraction', 'carbon dioxide (CO2)', 'profile', 'dry mole fraction CO2']]",['DP1.00099.001'],['Terrestrial Instrument System (TIS)'],['CO2 concentration - storage']
"['This data product contains the quality-controlled measurement data and associated metadata in HDF5 format. The key sub-data products include H2O molar fraction in the air at different measurement heights on the tower at all NEON terrestrial sites, and sensor-associated environmental data.  The data are delivered with the Bundled data products - eddy covariance data product (DP4.00200.001).\n\nLatency:\nData collected in any given month are published during the second full week of the following month.']",[''],['NEON.DOM.SITE.DP1.00100.001'],['TIS Data Product Type'],"[['H2O molar density', 'water vapor exchange', 'H2O molar fraction', 'eddy covariance (EC)', 'H2O concentration', 'dry mole fraction H2O', 'storage', 'dew point', 'water vapor', 'H2O mixing ratio', 'profile', 'humidity']]",['DP1.00100.001'],['Terrestrial Instrument System (TIS)'],['H2O concentration - storage']
"[""This data product contains the quality-controlled, native sampling resolution data from NEON's testing of blood samples from individual small mammals for seroposivity to hantaviruses. Small mammal blood samples were tested for hantaviruses from 2014-2019. Beginning in 2020 rodent pathogen testing focuses on tick-borne diseases. The blood samples are collected as part of the mark-recapture, box trapping effort for small mammals (i.e., rodents (Rodentia) < 600 grams), with the field capture results available separately via the Small mammal box trapping data product (NEON.DP1.10072). Small mammals are sampled at regular intervals by NEON field technicians. Blood samples are collected from individuals of target species of rodents, including all species in the families Cricetidae, Muridae, and Dipodidae, if an individual weighs more than 10 grams and is in good physical condition. In a typical year, only a subset of blood samples collected will be tested, up to approximately 140 samples per NEON site, with the remaining samples archived. The sample identifiers for the blood samples allow users to link the pathogen test results provided in this data product to the field collection information, including taxonomic identification of the capture, to the Small mammal box trapping data product (NEON.DP1.10072). For additional details, see the user guide, protocols, and science design listed in the Documentation section in this data product's details webpage.\n\nLatency:\nThe expected time from data and/or sample collection in the field to data publication is as follows, for each of the data tables (in days) in the downloaded data package. See the Data Product User Guide for more information.\n\nrpt_bloodtesting:  270""]",[''],['NEON.DOM.SITE.DP1.10064.001'],['TOS Data Product Type'],"[['vertebrates', 'mammals', 'Rodentia', 'animals', 'Dipodidae', 'rats', 'archived samples', 'hantaviruses', 'antibodies', 'Chordata', 'Animalia', 'voles', 'mice', 'Cricetidae', 'mouse', 'Muridae', 'vouchers', 'health', 'seroprevalence', 'rodents', 'material samples', 'Mammalia', 'traps', 'disease', 'vector-borne', 'zoonotic', 'specimens', 'vector']]",['DP1.10064.001'],['Terrestrial Observation System (TOS)'],['Rodent-borne pathogen status']
"[""This data product contains the quality-controlled, native sampling resolution data derived from NEON's tick pathogen testing. Products resulting from this sampling include results of testing individual ticks collected during NEON tick sampling for pathogen presence/absence. See NEON Product Ticks sampled using drag cloths (DP1.10093.001) for data on the abundance and diversity of ticks collected at NEON sites. Following collection, tick samples are sent to a professional taxonomist where ticks are identified to species and sex. A subset of positively-identified nymphal ticks are tested for the presence of bacterial and protozoan pathogens. For additional details, see the user guide, protocols, and science design listed in the Documentation section in this data product's details webpage.\n\nLatency:\nThe expected time from data and/or sample collection in the field to data publication is as follows, for each of the data tables (in days) in the downloaded data package. See the Data Product User Guide for more information.\n\ntck_pathogen:  390\n\ntck_pathogenqa:  390""]",[''],['NEON.DOM.SITE.DP1.10092.001'],['TOS Data Product Type'],"[['polymerase chain reaction', 'Arachnida', 'nymphs', 'Dermacentor', 'protozoan', 'Arthropoda', 'animals', 'Babesia', 'Rickettsia', 'archived samples', 'arthropods', 'Acari', 'Animalia', 'Borrelia', 'ticks', 'arachnids', 'pathogens', 'Ixodes', 'Amblyomma', 'drag cloths', 'parasites', 'disesase', 'Anaplasma', 'Francisella', 'borreliae', 'health', 'material samples', 'Lyme disease', 'ectoparasites', 'vector-borne', 'specimens']]",['DP1.10092.001'],['Terrestrial Observation System (TOS)'],['Tick-borne pathogen status']
