Abstract,Authors,DOI,Datatype,Keywords,Link,Source,Title
"['The importance of developing cloud-based solutions for education and skill development for Botswana is presented in this chapter. The current infrastructure in Botswana and rest of Africa to support online learning, electricity and internet connectivity, essential for development of smart villages, is presented with penetration data for mobile phones, internet, electricity, etc. Technology, platform, access devices and policy priorities to develop cloud-based solutions for education and skill development are detailed. From the data available, the author recommends that in order to deliver universal high-quality online learning for students in Botswana and rest of the developing world, the last mile internet connectivity issue must be resolved. He also recommends a policy to adopt mobile phones for use as both the technology solution and access devices solution, and adds that renewable energy solutions, particularly solar energy, must be advanced to ensure availability of electricity for all residents, a necessity for education and skill development.']","['Sebusang, S.']",['10.1007/978-3-030-68458-7_27'],['Chapter'],[''],['http://dx.doi.org/10.1007/978-3-030-68458-7_27'],[''],['Cloud-Based Solutions for Education and Skill Development – Botswana']
"['Environmental DNA (eDNA) metabarcoding can enhance understanding of global biodiversity by making it possible to study taxonomic groups that are difficult to sample. However, experimental choices made when generating eDNA data can impact biodiversity surveys and must be carefully considered during study design. Here, we explored the impact of DNA extraction protocol and metabarcode choice on recovery of meiofauna DNA from sand. We extracted DNA from untreated sand and from sand treated with either Ludox or MgCl 2 and amplified DNA using the 18S and CO1 metabarcodes. We found differences in species composition and richness both between metabarcodes and among sampling strategies, confirming the sensitivity of the experiments to both parameters. Combining data from multiple barcodes and from multiple extraction protocols increased recovered meiofaunal taxonomic diversity. Future metabarcoding studies and meta-analyses should consider the effects of sampling protocols on biodiversity. Our results also highlight the need to continue to improve existing reference databases of morphological and molecular characterization of meiofauna, in particular of the tropics, which are poorly represented in existing databases.']","['Castro, Lyda R., [Meyer, Rachel S.], [Shapiro, Beth], [Shirazi, Sabrina], [Cutler, Samuel], [Lagos, Ana M.], [Quiroga, Sigmer Y.]']",['10.1007/s10750-021-04576-z'],['Article'],[''],['http://dx.doi.org/10.1007/s10750-021-04576-z'],[''],['Metabarcoding meiofauna biodiversity assessment in four beaches of Northern Colombia: effects of sampling protocols and primer choice']
"['Nanostructured covalent organic frameworks (COFs) have attracted great attentions over the past few decades due to their unique physical and chemical properties. Crystallization is sought in many application fields since it allows enhancing or even promoting properties of catalysis, energy storage and photoelectric properties. However, the crystallization process of nanostructured COFs remains to be challenging. Synthetic approaches to establish nucleation and elongation growth of COFs for controlling crystallization have drawn substantial amount of attentions. Nanostructured COFs have exhibited significant advantages when applied in (electro)photocatalysis and energy storage devices as well. In this review, recent progress in precisely design strategy of fabricating various nanostructured COFs and their applications as (electro)photocatalyzer and energy storage devices are summarized. After a brief introduction of the design principles, composition and interior architecture, the morphology of nanostructured COFs including porous and mesoporous stacked-layer structure, nanosheet structure, nanorod structure, ordered stripe arrays and various nanocomposites are thoroughly described. Reactions dedicated to crystallization process for two-dimensional (2D) COFs are discussed further. Then, the applications of nanostructured COFs as (electro)photocatalysis and energy storage devices are demonstrated. Finally, the potential advantages and challenges for the synthetic technology of nanostructured COFs materials are particularly discussed. Personal insights into the challenges and opportunities on pursuing topologies as hollow structures, dense spheres, yolk–shell structures were raised to broaden the applications.']","['Chen, Haoyun, [Yuan, Xingzhong], [Wang, Hou], [Yu, Hanbo], [Jiang, Longbo]']",['10.1007/s10853-021-05872-8'],['Article'],[''],['http://dx.doi.org/10.1007/s10853-021-05872-8'],[''],['Nanostructured covalent organic frameworks with elevated crystallization for (electro)photocatalysis and energy storage devices']
"['According to modern classification, tick-borne flaviviruses have been divided into a mammalian tick-borne virus group and a seabird tick-borne virus group (STBVG). The STBVG includes the Tyuleniy virus, Meaban virus, Saumarez Reef virus, and the recently discovered Kama virus (KAMV). The latter was isolated from Ixodes lividus , an obligate parasitic tick of the sand martin ( Riparia riparia ), in 1989 in the central part of the Russian Plain. In 2014, based on molecular genetic analysis, it was shown that KAMV is a new virus belonging to STBVG, genus Flavivirus , fam. Flaviviridae . Very little is known about the Kama virus concerning its range, vectors, and reservoir hosts. GenBank contains a single sequence of the complete genome of this virus. In the present study, the complete genome sequences of two strains, isolated in 1983 in the Omsk region (Western Siberia) from gamasid mites in the nests of rooks ( Corvus frugilegus ), have been determined. Phylogenetic analyses of their genomes showed a close relationship both with each other (approx. 98.9% nucleotide identity) and with KAMV isolated in European Russia (approx. 98.4% nucleotide identity). The ecological features of KAMV that are due to the species of the vector (gamasid mites) and its hosts (colonial birds of the mainland of Eurasia) indicate that KAMV is an atypical representative STBVG.']","['Kovalev, S. Y., [Yakimenko, V. V.]']",['10.1007/s11262-021-01849-6'],['Article'],[''],['http://dx.doi.org/10.1007/s11262-021-01849-6'],[''],['Kama virus (KAMV) is an atypical representative of the seabird tick-borne flaviviruses']
"['We develop a general class of noise-robust estimators based on the existing estimators in the non-noisy high-frequency data literature. The microstructure noise is a parametric function of the limit order book. The noise-robust estimators are constructed as plug-in versions of their counterparts, where we replace the efficient price, which is non-observable, by an estimator based on the raw price and limit order book data. We show that the technology can be applied to five leading examples where, depending on the problem, price possibly includes infinite jump activity and sampling times encompass asynchronicity and endogeneity.']","['Clinet, Simon, [Potiron, Yoann]']",['10.1007/s10463-020-00762-3'],['Article'],[''],['http://dx.doi.org/10.1007/s10463-020-00762-3'],[''],['Estimation for high-frequency data under parametric market microstructure noise']
"['We estimate the effect of mass media coverage of the meningococcal disease on the uptake of meningococcal vaccinations in Hungary. Our analysis is based on administrative county-level data on vaccination purchases linked to indicators of media coverage of the meningococcal disease and to administrative records of disease incidence. Using geographical and time variations in these indicators, our fixed effects estimates indicate a strong positive effect of mass media coverage of the disease on the rate of vaccination with all types of the meningococcal vaccine. At the same time, we do not find evidence that disease incidence itself has a positive impact on vaccination. These findings are broadly in line with imperfect information and the principles of bounded rationality and highlight the responsibility of mass media in influencing health-related behaviours.']","['Bíró, Anikó, [Szabó-Morvai, Ágnes]']",['10.1007/s10198-021-01296-y'],['Article'],[''],['http://dx.doi.org/10.1007/s10198-021-01296-y'],[''],['Mass media coverage and vaccination uptake: evidence from the demand for meningococcal vaccinations in Hungary']
"[""In this work, we discussed and counter-commented Paul J. Weldon's comments on our recent paper (Zhou et al. Proc Natl Acad Sci USA 117:32493, 2020a), where we reported that BCP/BCPO (beta-caryophyllene/caryophyllene oxide) in fresh horse manure is sufficient to drive manure rolling behavior (HMR) in giant panda and attenuate the cold sensitivity of mice by directly targeting and inhibiting transient receptor potential melastatin 8 (TRPM8), an archetypical cold-activated ion channel of mammals. The main question we arise in this response is: “which is the reasonable target of BCP/BCPO? Parasites or TRPM8?” Based on the knowledge of TRPM8-mediated cooling sensation, interaction between BCP/BCPO and TRPM8, BCP/BCPO concentration in horse manure samples, correlation between HMR frequency and habitat temperature, insecticidal activity of BCP/BCPO and thermal ecology of parasites, we prefer a simple idea that BCP/BCPO-induced TRPM8 antagonism bestows the wild giant pandas with cold tolerance at low-ambient temperatures. Compared with the speculation of insecticidal activity induced by HMR behavior, our study provided a comprehensive mechanism to confirm a physiological target of BCP/BCPO during the highly cold-correlated behavior.""]","['Zhou, Wenliang, [Yang, Shilong], [Lai, Ren], [Wei, Fuwen]']",['10.1007/s00049-021-00344-6'],['Article'],[''],['http://dx.doi.org/10.1007/s00049-021-00344-6'],[''],['How two sesquiterpenes drive horse manure rolling behavior in wild giant pandas']
"['Probability of informed trading (PIN) models characterize trading with certain types of information through a tree structure. Different tree structures with different numbers of groups for market participants have been proposed, with no clear, consistent tree used in the literature. One of the main causes of this inconsistency is that these trees are artificially proposed through a bottom-up approach rather than implied by actual market data. Therefore, in this paper, we propose a method that infers a tree structure directly from empirical data. More precisely, we use hierarchical clustering to construct a tree for each individual firm and then infer an aggregate tree through a voting mechanism. We test this method on US data from January 2002 for 7608 companies, which results in a tree with two layers and four groups. The characteristics of the resulting aggregate tree are between those of several proposed tree structures in the literature, demonstrating that these proposed trees all reflect only part of the market, and one should consider the proposed empirically driven method when seeking a tree representing the whole market.']","['Lin, Emily, [Kao, Chu-Lan Michael], [Adityarini, Natasha Sonia]']",['10.1007/s11156-021-00961-w'],['Article'],[''],['http://dx.doi.org/10.1007/s11156-021-00961-w'],[''],['Data-driven tree structure for PIN models']
"['The aim of this study was to explore the associations between temperamental reactivity and regulation and the emergence of anxiety traits in a longitudinal sample of infants enriched for later ASD. Parents of 143 infants who were at high- and low-risk for ASD rated their child’s temperament traits when they were 9, 15 and 24\xa0months old; they rated anxiety and ASD traits when they were 36\xa0months old. The findings suggest that behavioural inhibition may be an early predictor of later anxiety in children with and without ASD and that lower levels of effortful control in children who later develop ASD may contribute to the higher expression of anxiety within this population.']","['Ersoy, Mutluhan, [Charman, Tony], [Pasco, Greg], [Carr, Ewan], [Johnson, Mark H.], [Jones, Emily J. H.], [The BASIS Team]']",['10.1007/s10803-020-04734-7'],['Article'],[''],['http://dx.doi.org/10.1007/s10803-020-04734-7'],[''],['Developmental Paths to Anxiety in an Autism-Enriched Infant Cohort: The Role of Temperamental Reactivity and Regulation']
"['Mating with the wrong species is surprisingly common in nature. Interspecific mating can lead to reproductive interference, where wasted time, energy, nutrients, or gametes reduces the fitness of one or both of the interacting species. However, the ecological and evolutionary forces that maintain this seemingly maladaptive behavior remain poorly understood, in part because the natural complexity of heterospecific encounters is often not considered experimentally. The goal of this study was to directly test if the negative effects of heterospecific mating can be mitigated by conspecific mating. We used two closely related species of squash bug, Anasa tristis and Anasa andresii, which are known to readily mate with each other despite clear negative fitness consequences. We gave all females opportunities to mate with conspecific males before and after encountering heterospecific males. We found that A. tristis females can alleviate temporary bouts of heterospecific interference when given opportunities to mate with conspecifics. However, we found the opposite for A. andresii females. Mating with conspecifics did not shelter female A. andresii from the consequences of heterospecific mating. Our study reveals the complex dynamics of reproductive interference and highlights scenarios where mating with the wrong species can have either minimal or long-lasting effects on fitness. We emphasize the benefit of assessing reproductive interference using experiments that not only vary heterospecific encounter rates, but that also quantify lifetime measures of fitness. Our study adds to the growing body of research highlighting the importance of reproductive interference and sheds light on why this seemingly paradoxical behavior continues to persist.']","['Villa, Scott M., [Han, Diane D.], [Jordan, Malichai E.], [Gerardo, Nicole M.]']",['10.1007/s10682-021-10120-1'],['Article'],[''],['http://dx.doi.org/10.1007/s10682-021-10120-1'],[''],['The resilience of reproductive interference']
